_IDRRef;_Version;_Marked;_IsMetadata;_ParentIDRRef;_Folder;_Code;_Description;_Fld8687;_Fld8698
0x81F3705AB67B77C011DFFBDAF3E67235;0x0000000000E05F41;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000052;Крой К/П;2;1
0x85A620CF306869C211E3B5A3B74549D6;0x0000000000E05F42;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000130;Проверка диванов;20;0
0x876E00195BFE421211DF627D295C40B0;0x0000000000E05F43;0x00;0x00;0x00000000000000000000000000000000;0x00;000000005;Крой;NULL;NULL
0x876E00195BFE421211DF627DBEB770B2;0x0000000000E05F44;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000006;Спан-д;30;3
0x877600195BFE421211DF67BBFD625C20;0x0000000000E05F45;0x00;0x00;0x00000000000000000000000000000000;0x00;000000011;Плотники;NULL;NULL
0x877600195BFE421211DF67BBFD625C21;0x0000000000E05F46;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000012;Войлок;26;1
0x877F00195BFE421211DF6EF33A87F0A0;0x0000000000E05F47;0x00;0x00;0xA5EB001BFCFFD10A11DF4F7407E39E04;0x01;000000013;Распил каркаса;31;0
0x877F00195BFE421211DF6EF33A87F0A2;0x0000000000E05F48;0x00;0x00;0x877600195BFE421211DF67BBFD625C20;0x01;000000015;Сборка боковин;23;1
0x877F00195BFE421211DF6EF33A87F0A3;0x0000000000E05F49;0x00;0x00;0x877600195BFE421211DF67BBFD625C20;0x01;000000016;Сборка ящика;24;2
0x877F00195BFE421211DF6EF33A87F0A4;0x0000000000E05F4A;0x00;0x00;0x00000000000000000000000000000000;0x00;000000017;Плотник по металлу;NULL;NULL
0x877F00195BFE421211DF6EF33A87F0A5;0x0000000000E05F4B;0x00;0x00;0x877F00195BFE421211DF6EF33A87F0A4;0x01;000000018;Сборка карк//Оклад//Аккор;36;1
0x877F00195BFE421211DF6EF33A87F0A7;0x0000000000E05F4C;0x00;0x00;0x878000195BFE421211DF6FC223D412A9;0x01;000000020;Прессовка подлокотника;44;0
0x877F00195BFE421211DF6EF33A87F0A8;0x0000000000E05F4D;0x00;0x00;0x00000000000000000000000000000000;0x00;000000022;Приб.пр/блок.;NULL;NULL
0x877F00195BFE421211DF6EF33A87F0A9;0x0000000000E05F4E;0x00;0x00;0x877F00195BFE421211DF6EF33A87F0A8;0x01;000000023;Приб.пр/блок. с отходами;42;2
0x877F00195BFE421211DF6EF33A87F0AA;0x0000000000E05F4F;0x00;0x00;0x877F00195BFE421211DF6EF33A87F0A8;0x01;000000024;Приб.пр/блок. ;43;3
0x877F00195BFE421211DF6EF33A87F0AE;0x0000000000E05F50;0x00;0x00;0x878000195BFE421211DF6FC223D412A6;0x01;000000028;Покраска ;40;2
0x877F00195BFE421211DF6EF33A87F0AF;0x0000000000E05F51;0x00;0x00;0x878000195BFE421211DF6FC223D412A6;0x01;000000029;Сварка ;38;2
0x877F00195BFE421211DF6EF33A87F0B0;0x0000000000E05F52;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000030;Холофайбер и синтепон;27;2
0x877F00195BFE421211DF6EF33A87F0B2;0x0000000000E05F53;0x00;0x00;0x00000000000000000000000000000000;0x00;000000034;Резка поролона;NULL;NULL
0x877F00195BFE421211DF6EF33A87F0B3;0x0000000000E05F54;0x00;0x00;0x877F00195BFE421211DF6EF33A87F0B2;0x01;000000035;Резка поролона;41;2
0x877F00195BFE421211DF6EF33A87F0B5;0x0000000000E05F55;0x00;0x00;0x878000195BFE421211DF6FC223D412A8;0x01;000000038;Кл/бок ;19;0
0x878000195BFE421211DF6FC223D412A6;0x0000000000E05F56;0x00;0x00;0x00000000000000000000000000000000;0x00;000000039;Металлокаркасы;NULL;NULL
0x878000195BFE421211DF6FC223D412A7;0x0000000000E05F57;0x00;0x00;0x00000000000000000000000000000000;0x00;000000040;Обивка;NULL;NULL
0x878000195BFE421211DF6FC223D412A8;0x0000000000E05F58;0x00;0x00;0x00000000000000000000000000000000;0x00;000000041;Пошив;NULL;NULL
0x878000195BFE421211DF6FC223D412A9;0x0000000000E05F59;0x00;0x00;0x00000000000000000000000000000000;0x00;000000042;Прессовка;NULL;NULL
0x87D400195BFE421211DFB72CC1354BC6;0x0000000000E05F5A;0x00;0x00;0xA5EB001BFCFFD10A11DF4F7407E39E04;0x01;000000045;Ленточный распил;34;2
0x87EF00195BFE421211DFCC729D24BBC6;0x0000000000E05F5B;0x00;0x00;0x878000195BFE421211DF6FC223D412A6;0x01;000000026;Резка профтрубы;39;2
0x87EF00195BFE421211DFCC729D24BBC7;0x0000000000E05F5C;0x00;0x00;0x878000195BFE421211DF6FC223D412A6;0x01;000000047;Затяг.тормозов и фанеры;32;1
0x87EF00195BFE421211DFCC729D24BBC9;0x0000000000E05F5D;0x00;0x00;0xA5EB001BFCFFD10A11DF4F7407E39E04;0x01;000000014;Фрезеровка подлокотника;35;3
0x880700195BFE421211DFE253F51811CA;0x0000000000E05F5E;0x00;0x00;0x877600195BFE421211DF67BBFD625C20;0x01;000000049;Сборка базы и ящика;25;3
0x880700195BFE421211DFE253F51811CB;0x0000000000E05F5F;0x00;0x00;0x00000000000000000000000000000000;0x00;000000050;Покраска угловых диванов;NULL;NULL
0x880700195BFE421211DFE253F51811CC;0x0000000000E05F60;0x00;0x00;0x880700195BFE421211DFE253F51811CB;0x01;000000051;Покраска базы;33;2
0x886800195BFE421211E02DCB3FC5D77A;0x0000000000E05F61;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000054;Резчик ткани;28;2
0x886800195BFE421211E02DCB3FC5D77B;0x0000000000E05F62;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000056;Боковины Акк Классик;63;2
0x886800195BFE421211E02DE448183FF6;0x0000000000E05F63;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000059;Задн.планка кож. зам;16;3
0x886A00195BFE421211E02F6014425FD8;0x0000000000E05F64;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000060;Спан-д и спан-д д/плотн.;29;2
0x899F20CF306869C211E3FAC53403DB71;0x0000000000E05F65;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000132;Бок-ны Лора;62;2
0x916B20CF306869C211E589DA623880FF;0x0000000000E05F66;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000142;Покраска дивана;84;0
0x916B20CF306869C211E589DA62388110;0x0000000000E05F67;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000146;Боковины Угловой Лилия;68;2
0x92801078D215560711E0CA21C74F0111;0x0000000000E05F68;0x00;0x00;0x877F00195BFE421211DF6EF33A87F0A4;0x01;000000061;Сборка карк.//Оклад/Викт.;37;2
0x93A220CF306869C211E618D64B395F40;0x0000000000E05F69;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000149;Крой К/П Лилия;6;2
0x9A7C20CF306869C211E5AD657FE85031;0x0000000000E05F6A;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000147;Бок-ны Лилия ТР;76;2
0xA5D5001BFCFFD10A11DF3F0CD0F85FA0;0x0000000000E3760A;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000001;Обивка;21;0
0xA5D5001BFCFFD10A11DF3F10A9FE2AFC;0x0000000000E05F6C;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000002;Кр/ткани;1;1
0xA5D5001BFCFFD10A11DF3F112EE9447C;0x0000000000E05F6D;0x00;0x00;0x878000195BFE421211DF6FC223D412A8;0x01;000000003;Пошив;17;0
0xA5EB001BFCFFD10A11DF4F7407E39E04;0x0000000000E05F6E;0x00;0x00;0x00000000000000000000000000000000;0x00;000000004;Столяры;NULL;NULL
0xA68220CF306869C211E24AA9C1DCD0E1;0x0000000000E05F6F;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000103;Боковины Акк ДИЗ;57;1
0xA68220CF306869C211E24AA9C1DCD0E2;0x0000000000E05F70;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000105;Боковины Акк Виола;58;2
0xA68220CF306869C211E24AA9C1DCD0E3;0x0000000000E05F71;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000106;Боковины Акк б/б;59;2
0xA68220CF306869C211E24AA9C1DCD0E4;0x0000000000E05F72;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000107;Боковины Акк Д/П Нов. и С;60;2
0xA68220CF306869C211E24AA9C1DCD0E5;0x0000000000E05F73;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000108;Боковины Акк К/П Нов. и С;61;2
0xA68220CF306869C211E24AA9C1DCD0E6;0x0000000000E05F74;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000110;Боковины Акк Капля к/п;63;2
0xA68220CF306869C211E24AA9C1DCD0E7;0x0000000000E05F75;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000111;Боковины Акк Капля д/п;64;3
0xA68220CF306869C211E24AA9C1DCD0E8;0x0000000000E05F76;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000112;Бок-ны Вик Д/П;67;2
0xA68220CF306869C211E24AA9C1DCD0E9;0x0000000000E05F77;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000113;Бок-ны Вик К/П;66;2
0xA68220CF306869C211E24AA9C1DCD0EA;0x0000000000E05F78;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000114;Бок-ны Вик ДИЗ;79;2
0xA68220CF306869C211E24AA9C1DCD0F3;0x0000000000E05F79;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000115;Бок-ны Вик Капля ф/п,м/п;65;1
0xA68220CF306869C211E24AA9C1DCD0F4;0x0000000000E05F7A;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000116;Бок-ны Вик Виола ф/п,м/п;69;2
0xA68220CF306869C211E24AA9C1DCD0F5;0x0000000000E05F7B;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000117;Бок-ны угл Вик Д/П;70;2
0xA68220CF306869C211E24AA9C1DCD0F6;0x0000000000E05F7C;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000118;Бок-ны угл Вик К/П;71;2
0xA68220CF306869C211E24AA9C1DCD0F7;0x0000000000E05F7D;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000119;Бок-ны угл Вик ДИЗ;72;2
0xA68220CF306869C211E24AA9C1DCD0F8;0x0000000000E05F7E;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000120;Бок-ны уг Вик Кап ф/п,м/п;73;2
0xA68220CF306869C211E24AA9C1DCD0F9;0x0000000000E05F7F;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000121;Бок-ны крес Вик Д/П;74;2
0xA68220CF306869C211E24AA9C1DCD0FA;0x0000000000E05F80;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000122;Бок-ны крес Вик К/П;75;2
0xA68220CF306869C211E24AA9C1DCD0FB;0x0000000000E05F81;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000123;Бок-ны крес Вик ДИЗ;78;2
0xA68220CF306869C211E24AA9C1DCD0FC;0x0000000000E05F82;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000124;Бок-ны кр Вик Кап ф/п,м/п;80;3
0xA71120CF306869C211E2C9D12B627B6A;0x0000000000E05F83;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000127;Обивка Ильхом;22;0
0xA9A220CF306869C211E5F257F7088590;0x0000000000E05F84;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000148;Резк и прок.пор+приб.ремн;83;0
0xAA0E20CF306869C211E588F890C02BD3;0x0000000000E05F85;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000137;Упак готов  кр.-качалки;81;0
0xAA0E20CF306869C211E5891FA6C0422E;0x0000000000E05F86;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000134;Сборка кр. и укладывание;85;0
0xAA0E20CF306869C211E5891FA6C04230;0x0000000000E05F87;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000139;Пакетирование фурнитуры;0;0
0xAA0E20CF306869C211E5891FA6C04231;0x0000000000E05F88;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000140;Сборка коробки для боков.;0;0
0xAA0E20CF306869C211E5891FA6C04232;0x0000000000E05F89;0x00;0x00;0xAA0E20CF306869C211E58922EA3E534D;0x01;000000141;Пуговицы;82;0
0xAA0E20CF306869C211E58922EA3E534D;0x0000000000E05F8A;0x00;0x00;0x00000000000000000000000000000000;0x00;000000138;Новый вид работ;NULL;NULL
0xABB820CF306869C211E1C730BA886EEE;0x0000000000E05F8B;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000066;Бок-ны Лилия шаг;77;2
0xAEC820CF306869C211E41BBEBD1D70DB;0x0000000000E05F8C;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000133;Крой канта Лора Аккордеон;7;2
0xAEE220CF306869C211E22EF261EAF157;0x0000000000E05F8D;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000092;Прокл.франц Акк 0,7м;0;1
0xAEE220CF306869C211E22EF261EAF158;0x0000000000E05F8E;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000093;Прокл.франц Акк 1,0м;0;2
0xAEE220CF306869C211E22EF261EAF159;0x0000000000E05F8F;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000094;Прокл.франц Акк 1,2м;0;2
0xAEE220CF306869C211E22EF261EAF15A;0x0000000000E05F90;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000095;Прокл.франц Акк 1,4м;0;2
0xAEE220CF306869C211E22EF261EAF15B;0x0000000000E05F91;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000096;Прокл.франц Акк 1,5м;0;2
0xAEE220CF306869C211E22EF261EAF15C;0x0000000000E05F92;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000097;Прокл.франц Акк 1,7м;0;2
0xAEE220CF306869C211E22EF261EAF15D;0x0000000000E05F93;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000098;Прокл.франц Акк 1,8м;0;2
0xAEE220CF306869C211E22EF261EAF15E;0x0000000000E05F94;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000099;Прокл.франц Акк 1,9м;0;3
0xAEE220CF306869C211E22EF261EAF15F;0x0000000000E05F95;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000100;Прокл.франц Виктория;0;1
0xAEE220CF306869C211E22EF261EAF160;0x0000000000E05F96;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000101;Прокл.франц Виктория крес;0;2
0xAEE220CF306869C211E22EF261EAF161;0x0000000000E05F97;0x01;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000102;Прокл.франц Виктория угол;0;3
0xB1EA20CF306869C211E227DF108A4958;0x0000000000E05F98;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000080;Проклейка Акк 0,7м;46;1
0xB1EA20CF306869C211E227DF108A4959;0x0000000000E05F99;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000081;Проклейка Акк 1,0м;47;2
0xB1EA20CF306869C211E227DF108A495A;0x0000000000E05F9A;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000082;Проклейка Акк 1,2м;48;2
0xB1EA20CF306869C211E227DF108A495B;0x0000000000E05F9B;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000083;Проклейка Акк 1,4м;49;2
0xB1EA20CF306869C211E2280799C10F1C;0x0000000000E05F9C;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000084;Проклейка Акк 1,5м;53;3
0xB1EA20CF306869C211E2280799C10F1D;0x0000000000E05F9D;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000085;Проклейка Акк 1,7м;50;2
0xB1EA20CF306869C211E2280799C10F1E;0x0000000000E05F9E;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000086;Проклейка Акк 1,8м;51;2
0xB1EA20CF306869C211E2280799C10F1F;0x0000000000E05F9F;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000088;Проклейка Акк 1,9м;52;2
0xB1EA20CF306869C211E2280799C10F20;0x0000000000E05FA0;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000089;Проклейка Виктория;54;1
0xB1EA20CF306869C211E2280799C10F21;0x0000000000E05FA1;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000090;Проклейка Виктория угол;56;3
0xB1EA20CF306869C211E2280799C10F22;0x0000000000E05FA2;0x00;0x00;0x878000195BFE421211DF6FC223D412A7;0x01;000000091;Проклейка Виктория кресло;55;2
0xB5341078D215560711E0D85010BA50CB;0x0000000000E05FA3;0x00;0x00;0x878000195BFE421211DF6FC223D412A8;0x01;000000063;Проверка чехлов;18;0
0xBBA420CF306869C211E20DF334B81733;0x0000000000E05FA4;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000068;Крой К/П Акк Новый,Старый;10;2
0xBBA420CF306869C211E20DF334B81734;0x0000000000E05FA5;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000069;Крой К/П Акк Капля;3;2
0xBBA420CF306869C211E20DF334B81735;0x0000000000E05FA6;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000070;Крой К/П Акк Диз;14;2
0xBBA420CF306869C211E20DF334B81736;0x0000000000E05FA7;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000071;Крой К/П Вик Новый,Старый;11;2
0xBBA420CF306869C211E20DF334B81737;0x0000000000E05FA8;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000072;Крой К/П Вик Капля;4;2
0xBBA420CF306869C211E20DF334B81738;0x0000000000E05FA9;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000073;Крой К/П Вик Диз;15;3
0xBBA420CF306869C211E20DF334B81739;0x0000000000E05FAA;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000074;Крой К/П Вик кр Нов,Стар;12;2
0xBBA420CF306869C211E20DF334B8173A;0x0000000000E05FAB;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000075;Крой К/П Вик кр Капля;5;2
0xBBA420CF306869C211E20DF334B8173B;0x0000000000E05FAC;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000076;Крой К/П Вик кр Диз;8;2
0xBBA420CF306869C211E20DF334B8173C;0x0000000000E05FAD;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000077;Крой К/П Вик Уг Нов,Стар;13;2
0xBBA420CF306869C211E20DF334B8173D;0x0000000000E05FAE;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000078;Крой К/П Вик Уг Диз;9;2
0xBBA420CF306869C211E20DF334B8173E;0x0000000000E05FAF;0x00;0x00;0x876E00195BFE421211DF627D295C40B0;0x01;000000079;Крой К/П Вик Уг Капля;6;2
